Name;Set;Imagefile;Side;Culture;Type;Twilight;Strength;Vitality;Resistance;Signet/Site#;Unique;Set#;Rarity;Card#;Notes;Lore;Text
Forces of Mordor;Fellowship;LOTR01248;Shadow;Sauron;Event;00;;;;;;01;C;248;Lists: OBRL, ERL, MXL;'....the Dark Lord is not without allies. The Easterlings and Haradrim now pay tribute to Mordor.';Shadow: Spot X [SAURON] minions to add (X).
Gleaming Spires Will Crumble;Fellowship;LOTR01249;Shadow;Sauron;Condition;01;;;;;;01;U;249;;Gondor has long been a target for the wrath of Sauron the Great.;Plays to your support area. Each [SAURON] Orc skirmishing a [GONDOR] character is strength +2. Discard this condition if your [SAURON] Orc loses a skirmish.
Hate;Fellowship;LOTR01250;Shadow;Sauron;Event;00;;;;;;01;R;250;;Orcs are filled with hatred not only for their foes, but for all that lives.;Maneuver: Exert a [SAURON] Orc to wound a companion (except the Ring-bearer).
A Host Avails Little;Fellowship;LOTR01251;Shadow;Sauron;Event;03;;;;;;01;U;251;If you can spot 7 or more companions, you may wound the same companion more than once. ;'Had I a host of Elves in armour of the Elder Days, it would avail little....';Search. Maneuver: Spot a [SAURON] Orc and 6 companions to wound a companion (except the Ring-bearer). Do this once for each companion over 5.
The Irresistible Shadow;Fellowship;LOTR01252;Shadow;Sauron;Condition;00;;;;;;01;R;252;;Once more the desire to slip on the Ring came over Frodo; but this time it was stronger than before.;To play, exert a [SAURON] Orc. Plays to your support area. If you can spot 5 burdens and the Free Peoples player has no cards in his or her draw deck, the Ring-bearer is corrupted.
Journey Into Danger;Fellowship;LOTR01253;Shadow;Sauron;Condition;00;;;;;;01;R;253;;'I do not foretell, for all foretelling is now vain: on the one hand lies darkness, on the other only hope.';Search. To play, exert a [SAURON] Orc. Plays to your support area. While you can spot 5 companions, each companion's twilight cost is +2.
Mordor Enraged;Fellowship;LOTR01254;Shadow;Sauron;Condition;00;;;;;;01;R;254;;The armies of Elendil and Gil-galad inflamed Sauron's anger and hatred.;Plays on a [SAURON] minion. Shadow: Exert bearer to add [1] for each archer companion.
Mordor's Strength;Fellowship;LOTR01255;Shadow;Sauron;Event;01;;;;;;01;C;255;;'It should have ended that day, but evil was allowed to endure.';Skirmish: Exert a [SAURON] Orc to wound a character he is skirmishing.
Morgul Hunter;Fellowship;LOTR01256;Shadow;Sauron;Minion - Orc;05;09;4;;6;;01;R;256;;Sauron's hatred lives in the hearts of his minions.;For each companion you can spot, this minion is strength +1.
Morgul Hunter (T);Fellowship;LOTR01256T;Shadow;Sauron;Minion - Orc;05;09;4;;6;;01;R;256T;Tengwar;Sauron's hatred lives in the hearts of his minions.;For each companion you can spot, this minion is strength +1.
Morgul Skirmisher;Fellowship;LOTR01257;Shadow;Sauron;Minion - Orc;03;09;3;;6;;01;U;257;;The Orcs of Mordor, heartened by the promise of blood and plunder, are dangerous foes in battle.;Maneuver: Remove [3] to exert a Hobbit (except the Ring-bearer).
Morgul Skulker;Fellowship;LOTR01258;Shadow;Sauron;Minion - Orc;02;07;2;;6;;01;U;258;;Sly servants of the Ringwraiths of Morgul Vale, Morgul Orcs are alert to the desires of their masters.;When you play this minion, you may shuffle up to 2 [WRAITH] cards from your discard pile into your draw deck.
Morgul Warden;Fellowship;LOTR01259;Shadow;Sauron;Minion - Orc;03;09;3;;6;U;01;R;259;;With blind devotion, the Orcs of Mordor follow orders issued from the Dark Tower.;For each other [SAURON] Orc you can spot, Morgul Warden is strength +1.
The Number Must Be Few;Fellowship;LOTR01260;Shadow;Sauron;Condition;02;;;;;;01;U;260;;'The number must be few, since your hope is in speed and secrecy.';Search. Plays to your support area. While you can spot 7 companions, the move limit for this turn is -1 (to a minimum of 1).
Orc Ambusher;Fellowship;LOTR01261;Shadow;Sauron;Minion - Orc;01;05;2;;6;;01;C;261;This Fellowship of the Ring card was misprinted in the Gimli Mines of Moria starter deck. The word  "non-native " should be  "roaming.  ";'Orcs will often pursue foes for many leagues....';Tracker. The roaming penalty for each [SAURON] minion you play is -1. Response: If a Free Peoples regroup event is played, exert this minion to cancel that event.
Orc Assassin;Fellowship;LOTR01262;Shadow;Sauron;Minion - Orc;02;06;2;;6;;01;U;262;This Fellowship of the Ring card was misprinted in the Gimli Mines of Moria starter deck. The word  "non-native " should be  "roaming.  ";;Tracker. The roaming penalty for each [SAURON] minion you play is -1. Assignment: Spot 2 Hobbit companions to make the Free Peoples player assign a Hobbit to skirmish this minion.
Orc Banner;Fellowship;LOTR01263;Shadow;Sauron;Condition;01;;;;;;01;R;263;Game text is a clarification. ;Tribes of Orcs from throughout Mordor rally to the banner of the Dark Tower.;Plays to your support area. Each time a companion or ally loses a skirmish that involves a [SAURON] Orc, each [SAURON] Orc is strength +1 until the regroup phase.
Orc Bowmen;Fellowship;LOTR01264;Shadow;Sauron;Condition;03;;;;;;01;R;264;;Where volleys of Orcish arrows fly, the defenders of the West fall.;Plays to your support area. While you can spot a [SAURON] Orc, add 1 to the minion archery total.
Orc Butchery;Fellowship;LOTR01265;Shadow;Sauron;Event;00;;;;;;01;R;265;;For sport, Orcs hew cruelly at the bodies of those they slay.;Response: If a companion is killed by a [SAURON] Orc, the Free Peoples player must discard 3 cards from the top of his draw deck for each card in the dead pile.
Orc Chieftain;Fellowship;LOTR01266;Shadow;Sauron;Minion - Orc;02;07;2;;6;;01;C;266;;Orc chieftains are the most cruel of a heartless race. Both strength and malice are needed to lead such followers.;When you play a weapon on this minion, add [2] (limit once per turn).
Orc Hunters;Fellowship;LOTR01267;Shadow;Sauron;Minion - Orc;03;09;2;;6;;01;U;267;;Bred for battle, Sauron's soldiers live for the thrill of the fight - and the spoils of victory.;Skirmish: Exert this minion to wound a character he is skirmishing.
Orc Inquisitor;Fellowship;LOTR01268;Shadow;Sauron;Minion - Orc;03;09;3;;6;;01;C;268;;Cruel questioners of Mordor tore the secret from poor Gollum, that Sauron's most prized possession once again was found.;When you play this minion, you may make the Free Peoples player discard a card at random from hand.
Orc Scimitar;Fellowship;LOTR01269;Shadow;Sauron;Possession - Hand Weapon;01;+2;;;;;01;C;269;;An Orc's weapon reflects his passion for war and cruelty.;Bearer must be a [SAURON] Orc. Skirmish: Remove [1] to make bearer strength +1 (limit +3).
Orc Scouting Band;Fellowship;LOTR01270;Shadow;Sauron;Minion - Orc;03;08;2;;6;;01;U;270;;The cunning ambushes of the Orc armies rely upon scouts first finding the enemy.;Tracker. The roaming penalty for each [SAURON] minion you play is -1. Skirmish: Exert this minion to wound a character it is skirmishing.
Orc Soldier;Fellowship;LOTR01271;Shadow;Sauron;Minion - Orc;02;07;2;;6;;01;C;271;;Bearing cruel weapons, Orcs go forth from Mordor to serve the Eye.;Skirmish: Exert this minion to wound a character he is skirmishing.
Orc War Band;Fellowship;LOTR01272;Shadow;Sauron;Minion - Orc;04;10;2;;6;;01;R;272;;Sauron has countless armies of Orcs at his disposal.;Skirmish: Exert this minion to wound a character it is skirmishing.
The Ring's Oppression;Fellowship;LOTR01273;Shadow;Sauron;Event;03;;;;;;01;C;273;;The Ring that hung upon its chain about his neck grew heavy, heavier than a great stone, and his head was dragged downwards.;Response: If a [SAURON] Orc kills a companion, add 1 burden (or 3 if the Ring-bearer wears The One Ring).
Sauron's Defenses;Fellowship;LOTR01274;Shadow;Sauron;Condition;01;;;;;;01;U;274;;Sauron's minions are everywhere. Few roads escape the gaze of the Lidless Eye.;To play, exert [SAURON] a Orc. Plays to your support area. While there are 3 or more companions in the dead pile, the move limit for this turn is -1 (to a minimum of 1).
Seeking It Always;Fellowship;LOTR01275;Shadow;Sauron;Condition;01;;;;;;01;U;275;;'...the only measure that he knows is desire, desire for power; and so he judges all hearts.';Search. Plays to your support area. Response: If a stealth event is played, exert a [SAURON] tracker to cancel that event.
Seeking Its Master;Fellowship;LOTR01276;Shadow;Sauron;Condition;01;;;;;;01;R;276;;'This at least is plain: the evil of the Ring is already at work even in the Company, and the Ring must leave them before it does more harm.';Plays to your support area. Shadow: Exert a [SAURON] Orc and remove [2] to draw a card.
Shadow's Reach;Fellowship;LOTR01277;Shadow;Sauron;Event;01;;;;;;01;C;277;;'Is it secret? Is it safe?';Shadow: Exert a [SAURON] Orc to discard a Free Peoples condition.
Strength Born of Fear;Fellowship;LOTR01278;Shadow;Sauron;Condition;01;;;;;;01;C;278;;Fear of death in Barad-dûr's dungeons spurs Mordor's servants to even greater savagery.;Plays to your support area. Skirmish: Remove [3] to make a [SAURON] Orc strength +1.
Thin and Stretched;Fellowship;LOTR01279;Shadow;Sauron;Condition;00;;;;;U;01;R;279;;'I am old, Gandalf. I don't look it....';To play, exert a [SAURON] Orc. Plays on the Ring-bearer. Add a burden at the end of each turn during which bearer was not assigned to a skirmish (and another companion was).
Tower Lieutenant;Fellowship;LOTR01280;Shadow;Sauron;Minion - Orc;04;10;3;;6;U;01;U;280;;Sauron shows favour to those in his dungeons with the ambition to squeeze the information he needs from those caught spying out his borders.;Each time this minion wins a skirmish, the Free Peoples player discards 2 cards at random from hand.
Under the Watching Eye;Fellowship;LOTR01281;Shadow;Sauron;Condition;00;;;;;;01;C;281;;What the Lidless Eye of Sauron does not see, his countless minions observe and report.;Search. To play, exert a [SAURON] tracker. Plays to your support area. Each time the fellowship moves, the Free Peoples player must exert a companion.
The Weight of a Legacy;Fellowship;LOTR01282;Shadow;Sauron;Condition;00;-1;;;;;01;R;282;;'It is because of Men, the Ring survives .... I was there the day the strength of Men failed.';To play, exert a [SAURON] Orc. Plays on Aragorn.
You Bring Great Evil;Fellowship;LOTR01283;Shadow;Sauron;Condition;01;;;;;;01;C;283;;'And what is this? We have not had dealings with the Dwarves since the Dark Days.';To play, spot a [SAURON] Orc. Plays on a companion (except an Elf). While at a sanctuary, bearer cannot heal.
Bilbo, Retired Adventurer;Fellowship;LOTR01284;Free;Shire;Ally - Home 3 - Hobbit;02;02;3;;3;U;01;R;284;Card title is an erratum. Image fixed;'...I don't suppose I have the strength or luck left to deal with the Ring. It has grown, and I have not.';Fellowship: Exert Bilbo to shuffle a [SHIRE] card from your discard pile into your draw deck.
Bilbo's Pipe;Fellowship;LOTR01285;Free;Shire;Possession - Pipe;01;;;;;U;01;U;285;;Bilbo has a fine pipe, carved for him by his Dwarven friends.;Bearer must be a Hobbit. Fellowship: Discard a pipeweed possession and spot X pipes to shuffle X tales from your discard pile into your draw deck.
Bounder;Fellowship;LOTR01286;Free;Shire;Ally - Home 2 - Hobbit;01;02;2;;2;;01;C;286;;'Aye, reckon we're in for a quiet night ... mind how you go.';Skirmish: Exert this ally to prevent a Hobbit from being overwhelmed unless that Hobbit's strength is tripled.
Extraordinary Resilience;Fellowship;LOTR01287;Free;Shire;Event;00;;;;;;01;C;287;;'Don't despair!' said Strider. 'You must trust me now. Your Frodo is made of sterner stuff than I had guessed....';Response: If the Ring-bearer is about to heal, remove a burden instead.
Farmer Maggot, Chaser of Rascals;Fellowship;LOTR01288;Free;Shire;Ally - Home 1 - Hobbit;01;02;3;;1;U;01;R;288;;'Old Maggot is really a stout fellow - if you leave his mushrooms alone.';Fellowship: Exert Farmer Maggot to heal Merry or Pippin.
Frodo, Old Bilbo's Heir;Fellowship;LOTR01289;Free;Shire;Companion - Hobbit;00;03;4;10;Gandalf;U;01;R;289;;'But be that as it may, Mr. Frodo is as nice a young hobbit as you could wish to meet.';Ring-bearer (resistance 10). At the start of each of your turns, you may heal a Hobbit ally.
Frodo, Son of Drogo;Fellowship;LOTR01290;Free;Shire;Companion - Hobbit;00;03;4;10;Frodo;U;01;C;290;;'I think you'll find there's more to this Hobbit than meets the eye.';Ring-bearer (resistance 10). Fellowship: Exert another companion who has the Frodo signet to heal Frodo.
The Gaffer, Sam's Father;Fellowship;LOTR01291;Free;Shire;Ally - Home 1 - Hobbit;01;02;2;;1;U;01;R;291;;No one had a more attentive audience than old Ham Gamgee, commonly known as the Gaffer. He held forth at The Ivy Bush, a small inn on the Bywater road; and he spoke with some authority, for he had tended the garden at Bag End for forty yea;Fellowship: Exert The Gaffer to heal Frodo or Sam.
The Gaffer's Pipe;Fellowship;LOTR01292;Free;Shire;Possession - Pipe;01;;;;;U;01;U;292;;'This ... is the one art that we certainly claim to be our own invention. When Hobbits first began to smoke is not known....';Bearer must be a Hobbit. Fellowship: Discard a pipeweed possession and spot X pipes to remove (X).
Halfling Deftness;Fellowship;LOTR01293;Free;Shire;Event;00;;;;;;01;U;293;;...though they are inclined to be fat and do not hurry unnecessarily, they are nonetheless nimble and deft in their movements.;Skirmish: Exert a Hobbit to make him strength +3.
Hobbit Appetite;Fellowship;LOTR01294;Free;Shire;Event;00;;;;;;01;C;294;;'What about Elevenses, Luncheon, Afternoon Tea and Supper - he knows about them, doesn't he?';Fellowship: Add (X) to heal a Hobbit companion X times.
Hobbit Farmer;Fellowship;LOTR01295;Free;Shire;Ally - Home 1 - Hobbit;01;02;2;;1;;01;C;295;;'...where our hearts truly lie is in peace and quiet and good-tilled earth....';While you can spot your site 1, this ally has the game text of that site. Fellowship: Exert this ally and spot opponent's site 1 to replace it with your site 1.
Hobbit Intuition;Fellowship;LOTR01296;Free;Shire;Event;01;;;;;;01;C;296;;'What? That were just a little detour, that's all ... a shortcut.';Stealth. Skirmish: At sites 1 to 4, cancel a skirmish involving a Hobbit. At any other site, make a Hobbit strength +3.
Hobbit Party Guest;Fellowship;LOTR01297;Free;Shire;Ally - Home 1 - Hobbit;01;02;2;;1;;01;C;297;;'More promising still (to the hobbits' mind): an enourmous open-air kitchen was erected....';At the start of each of your turns, heal this ally. Fellowship: Exert this ally to heal another Hobbit ally whose home is site 1.
Hobbit Stealth;Fellowship;LOTR01298;Free;Shire;Event;01;;;;;;01;C;298;;They possessed from the first the art of disappearing swiftly and silently, when large folk whom they do not wish to meet come blundering by....;Stealth. Skirmish: At sites 1 to 5, cancel a skirmish involving a Hobbit. At any other site, make a Hobbit strength +2.
Hobbit Sword;Fellowship;LOTR01299;Free;Shire;Possession - Hand Weapon;01;+2;;;;;01;C;299;Version: ****. ;'Strap these on....';Bearer must be a Hobbit.
Longbottom Leaf;Fellowship;LOTR01300;Free;Shire;Possession;01;;;;;;01;C;300;;Longbottom Leaf is the pipeweed enjoyed by most Hobbits throughout the Shire.;Pipeweed. Plays to your support area. When you play this possession, you may discard up to 2 cards from hand.
Master Proudfoot, Distant Relative of Bilbo;Fellowship;LOTR01301;Free;Shire;Ally - Home 1 - Hobbit;01;02;2;;1;U;01;U;301;;His name, of course, was Proudfoot, and well merited; his feet were large, exceptionally furry....;Fellowship: If the twilight pool has fewer than 3 twilight tokens, add [2] to reveal the top 3 cards of your draw deck. Take all [SHIRE] cards revealed into hand and discard the rest.
Merry, Friend to Sam;Fellowship;LOTR01302;Free;Shire;Companion - Hobbit;01;03;4;06;Frodo;U;01;R;302;;'We're coming too! You'll have to send us home tied up in a sack to stop us!';Skirmish: If Merry is not assigned to a skirmish, exert him twice to add his strength to another companion.
Merry, From O'er the Brandywine;Fellowship;LOTR01303;Free;Shire;Companion - Hobbit;01;03;4;06;Aragorn;U;01;C;303;;'I don't know why he's so upset, it's only a few carrots ... my point is, he's overreacting.';While Merry bears a weapon, he is strength +2.
Noble Intentions;Fellowship;LOTR01304;Free;Shire;Event;00;;;;;;01;C;304;Version: *. ;'You carry the fate of us all, little one .... If this is indeed the will of the Council, then Gondor will see it done.';Skirmish: Exert a companion (except a Hobbit) to make a Hobbit strength +3.
Old Toby;Fellowship;LOTR01305;Free;Shire;Possession;01;;;;;;01;C;305;;Bilbo's favorite pipeweed is Old Toby, the finest weed in the Southfarthing.;Pipeweed. Plays to your support area. When you play this possession, you may draw a card.
Pippin, Friend to Frodo;Fellowship;LOTR01306;Free;Shire;Companion - Hobbit;01;03;4;06;Frodo;U;01;C;306;;'Baggins? Sure I know a Baggins - Frodo's my second cousin once-removed, on his mother's side and my third cousin twice-removed on his father's side, if you follow me.';Your opponent may not discard your [SHIRE] tales from play.
Pippin, Hobbit of Some Intelligence;Fellowship;LOTR01307;Free;Shire;Companion - Hobbit;01;03;4;06;Gandalf;U;01;R;307;Version: *. ;'Anyway, you need people of intelligence on this sort of mission... quest... thing.';When you play Pippin, remove a burden or wound from a companion.
Power According to His Stature;Fellowship;LOTR01308;Free;Shire;Event;00;;;;;;01;R;308;;'The ring had given him power according to his stature.';Skirmish: Add 1 burden to wound each minion skirmishing the Ring-bearer.
Rosie Cotton, Hobbiton Lass;Fellowship;LOTR01309;Free;Shire;Ally - Home 1 - Hobbit;01;01;2;;1;U;01;U;309;Game text is a clarification. ;'Go on Sam, ask Rosie for a dance.';Sam is strength +1. Fellowship: Exert Rosie Cotton to heal Sam.
Sam, Faithful Companion;Fellowship;LOTR01310;Free;Shire;Companion - Hobbit;02;03;4;06;Frodo;U;01;R;310;;'Mr. Frodo's not going anywhere without me!';Fellowship: Play Bill the Pony from your draw deck. Response: If Frodo dies, make Sam the Ring-bearer (resistance 5).
Sam, Son of Hamfast;Fellowship;LOTR01311;Free;Shire;Companion - Hobbit;02;03;4;06;Aragorn;U;01;C;311;Lists: EXL;'Oh, I've never held a girl's hand before. I ... I think I might just have myself another ale.';Fellowship: Exert Sam to remove a burden. Response: If Frodo dies, make Sam the Ring-bearer (resistance 5).
Sorry About Everything;Fellowship;LOTR01312;Free;Shire;Event;00;;;;;;01;C;312;;'I am sorry that I brought this upon you ... sorry you must carry this burden.';Fellowship: Exert a Hobbit companion to remove a burden.
Sting;Fellowship;LOTR01313;Free;Shire;Possession - Hand Weapon;01;+2;;;;U;01;R;313;Lists: EXL, MXL;'This is Sting .... Take it, if you like.';Bearer must be Frodo. Fellowship or Regroup: Exert Frodo to reveal an opponent's hand. Remove [1] for each Orc revealed (limit [4]).
Stone Trolls;Fellowship;LOTR01314;Free;Shire;Condition;02;;;;;;01;R;314;;For a couple o' pins,' says Troll, and grins, / 'I'll eat thee too, and gnaw thy shins. / A bit o' fresh meat will go down sweet!';Tale. To play, spot Bilbo. Plays on any character. Limit 1 per character. Each time bearer skirmishes a Troll or Uruk-hai, bearer is strength +3.
Stout and Sturdy;Fellowship;LOTR01315;Free;Shire;Event;01;;;;;;01;C;315;;'You have a stout heart, little hobbit, but your courage alone will not save you.';Maneuver or Skirmish: Heal a Hobbit.
A Talent for Not Being Seen;Fellowship;LOTR01316;Free;Shire;Condition;00;;;;;U;01;U;316;Lists: EXL;With their small size, Hobbits use any hole to hide in, and their trail is difficult to detect.;Stealth. To play, exert a Hobbit. Plays to your support area. Each time the fellowship moves, spot 2 Hobbit companions to make the shadow number -1 (or spot 4 to make it -2).
There and Back Again;Fellowship;LOTR01317;Free;Shire;Condition;01;;;;;U;01;C;317;;'So there I was - at the mercy of three monstrous trolls....';Tale. Bearer must be a Hobbit companion. Maneuver: Discard this condition to make each Hobbit companion strength +2 until the regroup phase.
Thror's Map;Fellowship;LOTR01318;Free;Shire;Possession;00;;;;;U;01;R;318;Game text is an erratum. ;Bilbo still keeps a map of Erebor, the Lonely Mountain, as a memento of his journey with the Dwarves many years ago.;Plays to your support area. Fellowship or Regroup: Exert 2 Hobbits and discard Thror's Map to play the fellowship's next site (replacing opponent's site if necessary).
Bag End;Fellowship;LOTR01319;Site;Site;Site;;;;;1;;01;U;319;;;Fellowship: Exert a Hobbit to play The Gaffer from your draw deck.
East Road;Fellowship;LOTR01320;Site;Site;Site;;;;;1;;01;U;320;Version: *. ;;Each companion's twilight cost is +2
Farmer Maggot's Fields;Fellowship;LOTR01321;Site;Site;Site;;;;;1;;01;U;321;;;Fellowship: Exert a Hobbit to play Merry or Pippin from your draw deck.
Green Dragon Inn;Fellowship;LOTR01322;Site;Site;Site;;;;;1;;01;U;322;Version: *. ;;Fellowship: Exert a Hobbit to play Sam from your draw deck.
Green Hill Country;Fellowship;LOTR01323;Site;Site;Site;;;;;1;;01;U;323;;;The twilight cost of each Hobbit is -1.
The Prancing Pony;Fellowship;LOTR01324;Site;Site;Site;;;;;1;;01;U;324;Version: *. ;;Fellowship: Add a burden to play Aragorn from your draw deck.
Shire Lookout Point;Fellowship;LOTR01325;Site;Site;Site;;;;;1;;01;U;325;;;Fellowship: Spot Gandalf to play Gandalf's Cart from your draw deck.
Westfarthing;Fellowship;LOTR01326;Site;Site;Site;;;;;1;;01;C;326;;;Fellowship: Exert a Hobbit to play a companion or ally; that character's twilight cost is -1.
Bree Gate;Fellowship;LOTR01327;Site;Site;Site;02;;;;2;;01;U;327;;;While you can spot a ranger, the move limit is +1 for this turn.
Bree Streets;Fellowship;LOTR01328;Site;Site;Site;01;;;;2;;01;U;328;;;The roaming penalty for each Nazgul you play to Bree Streets is -2.
Breeland Forest;Fellowship;LOTR01329;Site;Site;Site;01;;;;2;;01;U;329;;;Forest. Stealth events may not be played.
Buckleberry Ferry;Fellowship;LOTR01330;Site;Site;Site;01;;;;2;;01;U;330;;;River. While only Hobbits are in the fellowship, there are no assignment and skirmish phases at Buckleberry Ferry.
Ettenmoors;Fellowship;LOTR01331;Site;Site;Site;02;;;;2;;01;C;331;Version: *. Game text is a clarification. ;;Plains. Skirmish: Exert your companion or minion to make that character strength +2.
Midgewater Marshes;Fellowship;LOTR01332;Site;Site;Site;01;;;;2;;01;U;332;;;Marsh. Each time a Hobbit moves to Midgewater Marshes, that Hobbit must exert.
Midgewater Moors;Fellowship;LOTR01333;Site;Site;Site;01;;;;2;;01;U;333;;;Plains. Each time a minion is played, the Free Peoples player discards a card from hand.
Trollshaw Forest;Fellowship;LOTR01334;Site;Site;Site;01;;;;2;;01;U;334;Version: *. ;;Forest. Each time you play a possession or artifact on your companion, draw a card.
Weatherhills;Fellowship;LOTR01335;Site;Site;Site;03;;;;2;;01;U;335;;;Each Nazgul's twilight cost is -1.
Weathertop;Fellowship;LOTR01336;Site;Site;Site;03;;;;2;;01;U;336;;;Each Nazgul at Weathertop is fierce.
Council Courtyard;Fellowship;LOTR01337;Site;Site;Site;00;;;;3;;01;C;337;;;Sanctuary. When the fellowship moves from Council Courtyard, remove [2].
Ford of Bruinen;Fellowship;LOTR01338;Site;Site;Site;00;;;;3;;01;U;338;Game text is a clarification. ;;River. Sanctuary. The twilight cost of the first Nazgul played to Ford of Bruinen each turn is -5.
Frodo's Bedroom;Fellowship;LOTR01339;Site;Site;Site;00;;;;3;;01;U;339;;;Sanctuary. Fellowship: Play a Hobbit to draw a card.
Rivendell Terrace;Fellowship;LOTR01340;Site;Site;Site;00;;;;3;;01;U;340;;;Sanctuary. Fellowship: Play a Man to draw a card.
Rivendell Valley;Fellowship;LOTR01341;Site;Site;Site;00;;;;3;;01;U;341;;;Sanctuary. Fellowship: Play an Elf to draw a card.
Rivendell Waterfall;Fellowship;LOTR01342;Site;Site;Site;00;;;;3;;01;U;342;;;Forest. Sanctuary. While you can spot a ranger at Rivendell Waterfall, the move limit is +1 for this turn.
Balin's Tomb;Fellowship;LOTR01343;Site;Site;Site;03;;;;4;;01;U;343;Game text is a clarification. ;;Underground. Maneuver: Discard your tale from play or from hand to heal your companion.
Dwarrowdelf Chamber;Fellowship;LOTR01344;Site;Site;Site;02;;;;4;;01;U;344;;;Underground. When the fellowship moves to Dwarrowdelf Chamber, Gimli or 2 other companions must exert.
Mithril Mine;Fellowship;LOTR01345;Site;Site;Site;03;;;;4;;01;U;345;;;Underground. Shadow: Remove [1] to play a Shadow weapon from your discard pile.
Moria Lake;Fellowship;LOTR01346;Site;Site;Site;03;;;;4;;01;C;346;;;Marsh. When the fellowship moves to Moria Lake, Frodo or 2 other companions must exert.
Moria Stairway;Fellowship;LOTR01347;Site;Site;Site;02;;;;4;;01;U;347;Version: *. ;;Underground. Each companion and minion bearing a hand weapon is damage +1.
Pass of Caradhras;Fellowship;LOTR01348;Site;Site;Site;02;;;;4;;01;U;348;;;Mountain. Shadow: Spot a [ISENGARD] minion to play a weather card from your draw deck (limit one per turn).
The Bridge of Khazad-dum;Fellowship;LOTR01349;Site;Site;Site;06;;;;5;;01;C;349;Version: *. ;;Underground. Shadow: Play The Balrog from your draw deck or hand; The Balrog's twilight cost is -6.
Dimrill Dale;Fellowship;LOTR01350;Site;Site;Site;03;;;;6;;01;U;350;;;Sanctuary. The twilight cost of the first [MORIA] Orc played each Shadow phase is -2.
Galadriel's Glade;Fellowship;LOTR01351;Site;Site;Site;03;;;;6;;01;C;351;;;Sanctuary. Fellowship: Exert an Elf to look at an opponent's hand.
Lothlorien Woods;Fellowship;LOTR01352;Site;Site;Site;03;;;;6;;01;U;352;;;Forest. Sanctuary. Each ally whose home is site 6 is strength +3.
Anduin Confluence;Fellowship;LOTR01353;Site;Site;Site;06;;;;7;;01;U;353;Version: *. ;;River. When the fellowship moves to Anduin Confluence, discard every ally.
Anduin Wilderland;Fellowship;LOTR01354;Site;Site;Site;06;;;;7;;01;C;354;;;Forest. River. While the fellowship is at Anduin Wilderland, skip the archery phase.
Silverlode Banks;Fellowship;LOTR01355;Site;Site;Site;06;;;;7;;01;U;355;;;River. When the fellowship moves to Silverlode Banks without a ranger, every companion must exert.
Anduin Banks;Fellowship;LOTR01356;Site;Site;Site;06;;;;8;;01;C;356;Version: **. ;;River. For each companion in the fellowship over 4, add 2 to the minion archery total.
Brown Lands;Fellowship;LOTR01357;Site;Site;Site;06;;;;8;;01;U;357;;;River. For each minion archer at Brown Lands, the minion archery total is +1 (limit +4).
Pillars of the Kings;Fellowship;LOTR01358;Site;Site;Site;06;;;;8;;01;U;358;;;River. Fellowship: Discard a [GONDOR] card from hand to heal a [GONDOR] companion.
Shores of Nen Hithoel;Fellowship;LOTR01359;Site;Site;Site;09;;;;8;;01;U;359;Version: *. ;;River. Shadow: Spot 5 Orc minions to prevent the fellowship from moving again this turn.
Emyn Muil;Fellowship;LOTR01360;Site;Site;Site;09;;;;9;;01;U;360;Version: *. Game text is a clarification. ;;Maneuver: Exert your minion to make that minion fierce until the regroup phase.
Slopes of Amon Hen;Fellowship;LOTR01361;Site;Site;Site;09;;;;9;;01;U;361;;;The twilight cost of each [ISENGARD] minion is -1.
Summit of Amon Hen;Fellowship;LOTR01362;Site;Site;Site;08;;;;9;;01;C;362;;;When the fellowship moves to Summit of Amon Hen, each Shadow player may draw a card for each burden.
Tol Brandir;Fellowship;LOTR01363;Site;Site;Site;09;;;;9;;01;U;363;;;River. Shadow: Play up to 3 trackers from your discard pile; end your Shadow phase.
Gandalf, The Grey Wizard;Fellowship;LOTR01364;Free;Gandalf;Companion - Wizard;04;07;4;06;Gandalf;U;01;P;364;;...his long white hair, his sweeping silver beard, and his broad shoulders, made him look like some wise king of ancient legend.;Fellowship: Exert Gandalf to play a companion who has the Gandalf signet. The twilight cost of that companion is -2.
Aragorn, King in Exile;Fellowship;LOTR01365;Free;Gondor;Companion - Man;04;08;4;06;Aragorn;U;01;P;365;;'He turned from that path a long time ago. He has chosen exile....';Ranger. At the start of each of your turns, you may heal another companion who has the Aragorn signet.
The Lord of the Rings, Trading Card Game (M);Fellowship;LOTR01M01;Free;Gandalf;;;;;;;;01;M;001;Oversized. Decipher, Inc. is proud to present... The Lord of the Rings Trading Card Game. Coming November 6th, 2001.;;
The Lord of the Rings, Trading Card Game (M);Fellowship;LOTR01M02;Shadow;Moria;;;;;;;;01;M;002;Oversized. Release schedule for the first nine sets: 1. The Fellowship of the Ring - November 2001. 2. Mines of Moria - March 2002. 3. Realms of the Elf-lords - July 2002. 4. The Two Towers - November 2002. 5. Battle of Helm's Deep - March 2003. 6. Ents of Fangorn - July 2003. 7. The Return of the King - November 2003. 8. Siege of Gondor - March 2004. 9. Mount Doom - July 2004;;
Lurtz, Servant of Isengard (M);Fellowship;LOTR01M03;Shadow;Isengard;Minion - Uruk-hai;07;13;3;;5;U;01;M;003;Oversized.;;Archer. Damage +1. Maneuver: Spot another Uruk-hai to make Lurtz fierce until the regroup phase.
